"Statistic Label","Year","Digital Service","Geographic Location","UNIT","VALUE"
"Household Expenditure on Digital Services","2020","Publishing/ Audiobooks and Podcasts","EU27","Euro Million","2"
"Household Expenditure on Digital Services","2020","Publishing/ Audiobooks and Podcasts","North America","Euro Million","2"
"Household Expenditure on Digital Services","2020","Publishing/ Audiobooks and Podcasts","United States","Euro Million","2"
"Household Expenditure on Digital Services","2020","Publishing/ Audiobooks and Podcasts","Rest of the World","Euro Million","0"
"Household Expenditure on Digital Services","2020","Publishing/ Audiobooks and Podcasts","Not geographically allocated","Euro Million","4"
"Household Expenditure on Digital Services","2020","Publishing/ Audiobooks and Podcasts","All Countries","Euro Million","25"
"Household Expenditure on Digital Services","2020","Online Gaming","Europe","Euro Million","118"
"Household Expenditure on Digital Services","2020","Online Gaming","Ireland","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gaming","France","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gaming","Germany","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gaming","Luxembourg","Euro Million","0"
"Household Expenditure on Digital Services","2020","Online Gaming","Malta","Euro Million","11"
"Household Expenditure on Digital Services","2020","Online Gaming","Netherlands","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gaming","United Kingdom","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gaming","EMU19","Euro Million","32"
"Household Expenditure on Digital Services","2020","Online Gaming","EU27","Euro Million","32"
"Household Expenditure on Digital Services","2020","Online Gaming","North America","Euro Million","3"
"Household Expenditure on Digital Services","2020","Online Gaming","United States","Euro Million","3"
"Household Expenditure on Digital Services","2020","Online Gaming","Rest of the World","Euro Million","0"
"Household Expenditure on Digital Services","2020","Online Gaming","Not geographically allocated","Euro Million","16"
"Household Expenditure on Digital Services","2020","Online Gaming","All Countries","Euro Million","137"
"Household Expenditure on Digital Services","2020","Online Gambling","Europe","Euro Million","130"
"Household Expenditure on Digital Services","2020","Online Gambling","Ireland","Euro Million","2"
"Household Expenditure on Digital Services","2020","Online Gambling","France","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gambling","Germany","Euro Million","0"
"Household Expenditure on Digital Services","2020","Online Gambling","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gambling","Malta","Euro Million","29"
"Household Expenditure on Digital Services","2020","Online Gambling","Netherlands","Euro Million","1"
"Household Expenditure on Digital Services","2020","Online Gambling","United Kingdom","Euro Million","95"
"Household Expenditure on Digital Services","2020","Online Gambling","EMU19","Euro Million","33"
"Household Expenditure on Digital Services","2020","Online Gambling","EU27","Euro Million","33"
"Household Expenditure on Digital Services","2020","Online Gambling","North America","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gambling","United States","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gambling","Rest of the World","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gambling","Not geographically allocated","Euro Million",""
"Household Expenditure on Digital Services","2020","Online Gambling","All Countries","Euro Million","130"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Europe","Euro Million","15"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Ireland","Euro Million",""
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","France","Euro Million","0"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Germany","Euro Million","1"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Malta","Euro Million",""
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Netherlands","Euro Million","0"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","United Kingdom","Euro Million","8"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","EMU19","Euro Million","3"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","EU27","Euro Million","3"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","North America","Euro Million","5"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","United States","Euro Million","5"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Rest of the World","Euro Million","0"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","Not geographically allocated","Euro Million","1"
"Household Expenditure on Digital Services","2020","Education/ Wellbeing/ Hobbies","All Countries","Euro Million","21"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Europe","Euro Million","9"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Ireland","Euro Million",""
"Household Expenditure on Digital Services","2020","Social Media/ Dating","France","Euro Million","0"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Germany","Euro Million","0"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Luxembourg","Euro Million",""
